onset_idx,offset_idx,onset_time,offset_time,amplitude,duration
6718,6726,26.933619,26.963596,35.593667976200486,0.02997699999999881
6732,6738,26.983627,27.01355,1.469498213677036,0.029923000000000144
6742,6745,27.026189,27.043529,1.0188763418590108,0.0173400000000008
6747,6770,27.047455,27.143472,0.742,0.0960169999999998
6772,6793,27.144967,27.233431,9.85436213054909,0.08846399999999832
6796,6798,27.243423,27.253409,0.5062432715602253,0.009986000000001383
6800,6811,27.263403,27.303367,33.53928144728208,0.03996400000000122
6815,6833,27.318166,27.393327,9.868275077236143,0.07516099999999781
6835,6842,27.398035,27.423299,1.038095337625596,0.025263999999999953
6844,6850,27.433295,27.461851,33.545345370110596,0.02855599999999825
6854,6856,27.473289,27.483286,4.911777885857625,0.00999699999999848
6858,6862,27.493271,27.503262,3.2737180527481122,0.009990999999999417
6865,6866,27.519546,27.52325,9.865852421357214,0.003704000000002594
6869,6878,27.533239,27.573236,5.625644825262256,0.03999700000000317
6881,6881,27.58323,27.58323,0.0,0.0
6884,6886,27.59322,27.603213,36.80139807126898,0.009993000000001473
6889,6897,27.613202,27.643181,1.0063572824797364,0.029978999999997313
6899,6906,27.653166,27.68315,16.78115386378422,0.029984000000002453
6908,6916,27.693165,27.723145,0.4233719670691483,0.02997999999999834
6920,6924,27.739987,27.753115,9.865852421357214,0.013128000000001805
6926,6935,27.763113,27.793084,0.8820192118089039,0.029970999999999748
6938,6945,27.8072,27.833084,9.834066707115628,0.025883999999997798
6947,6949,27.843076,27.853061,0.4410896054091504,0.009985000000000355
6951,6965,27.863055,27.913016,0.8408085453894959,0.0499609999999997
6967,6972,27.923008,27.943018,0.1477735091279895,0.020009999999999195
6974,6979,27.95301,27.972992,25.726892544572888,0.019982000000002387
6981,6982,27.980418,27.982987,9.88616351270805,0.0025690000000011537
6984,6987,27.992978,28.00297,36.99429685775903,0.009992000000000445
6989,6999,28.01296,28.052923,0.8264413590812115,0.03996300000000019
7001,7013,28.057839,28.102914,0.8343356638667677,0.04507499999999709
7016,7017,28.122293,28.122902,0.8775832724021123,0.0006090000000007478
7023,7034,28.143807,28.192872,0.621420952334245,0.04906500000000236
7036,7044,28.202389,28.23284,9.88829879200664,0.03045099999999934
7046,7047,28.241017,28.242833,9.865852421357214,0.0018160000000015941
7050,7051,28.252819,28.26235,0.8230779549957584,0.00953100000000262
7054,7060,28.272805,28.292786,33.24363308018545,0.019980999999997806
7063,7067,28.305522,28.322797,0.19620665126340636,0.017275000000001484
7069,7069,28.332786,28.332786,0.0,0.0
7072,7084,28.342776,28.392736,4.91991741419508,0.04995999999999867
7088,7089,28.405402,28.412718,9.907033864886099,0.007316000000002987
7091,7106,28.42271,28.482695,62.100313203719026,0.059985000000001065
7108,7109,28.489689,28.492681,0.6489869027954263,0.002992000000002548
7111,7114,28.502672,28.512667,36.16569921901137,0.009994999999999976
7116,7127,28.52266,28.562627,0.8638070675793292,0.03996700000000075
7130,7139,28.572645,28.612612,36.98765740081413,0.0399669999999972
7141,7148,28.620411,28.642592,0.768481619819238,0.022180999999999784
7151,7169,28.66257,28.732542,19.291356225003984,0.06997199999999992
7172,7184,28.742534,28.792493,4.966986636784923,0.0499590000000012
7186,7189,28.802517,28.812506,0.35111201916197626,0.009988999999997361
7193,7199,28.827776,28.85247,1.0169641094945288,0.024694000000000216
7201,7205,28.862465,28.872457,0.3667937840258474,0.009992000000000445
7207,7210,28.882453,28.892439,4.956498461615821,0.00998599999999783
7213,7220,28.909843,28.932438,9.877377080986632,0.022595000000002585
7222,7253,28.942428,29.072351,0.5674035072151035,0.12992300000000157
7255,7257,29.075308,29.082349,9.89312023580023,0.007041000000000963
7259,7261,29.092333,29.102324,4.945342986082967,0.009990999999999417
7265,7276,29.114296,29.162279,10.050937056812165,0.04798300000000211
7280,7281,29.176892,29.182291,2.216776939613005,0.005399000000000598
7284,7286,29.192282,29.202275,0.8336794722793647,0.009993000000001473
7288,7294,29.209454,29.232251,1.7276252487157044,0.022797000000000622
7296,7306,29.242243,29.282211,0.7024627036362856,0.03996800000000178
7308,7310,29.290112,29.292197,10.012039155436817,0.0020850000000010027
7313,7324,29.309662,29.352178,9.933973273569846,0.04251599999999911
7328,7336,29.372,29.402138,2.543506437971015,0.030138000000000886
7340,7342,29.415284,29.422118,2.7573227830633105,0.006834000000001339
7345,7358,29.436746,29.492091,9.861491266537735,0.05534499999999909
7360,7362,29.49545,29.502082,9.851914358133651,0.006631999999999749
7365,7378,29.515018,29.572054,9.880115434548323,0.05703600000000009
7380,7391,29.577143,29.622011,1.917570337692988,0.04486800000000102
7395,7402,29.641433,29.661981,3.526282134203104,0.020548000000001565
7404,7406,29.671973,29.68197,0.0,0.00999699999999848
7409,7428,29.691985,29.771917,15.368475202504639,0.07993199999999945
7430,7436,29.780196,29.801901,5.054683471791285,0.02170500000000075
