subject,blink_rate,alpha_power
sub-08,3.0004500675101267,5.269208592909454e-06
sub-08,3.000300030003002,5.072141866025447e-06
sub-08,3.0006001200240036,5.333589305055323e-06
sub-08,3.000300030003002,5.6898130870499655e-06
sub-08,0.0,5.113973098700754e-06
sub-08,15.00150015001501,5.395953888166946e-06
sub-08,6.000900135020257,5.1912328969611345e-06
sub-08,6.000900135020249,5.045236916609844e-06
sub-08,12.001800270040498,4.982392505730639e-06
sub-08,0.0,5.568634986128182e-06
sub-08,0.0,5.2921007786102514e-06
sub-08,0.0,5.286800242973873e-06
sub-08,0.0,5.643886228979149e-06
sub-08,0.0,4.97732173229047e-06
sub-08,6.000900135020249,5.453377400763141e-06
sub-08,12.001800270040498,5.496880543296458e-06
sub-08,0.0,5.310037622973165e-06
sub-08,6.000600060006004,5.788083929754974e-06
sub-08,0.0,5.368754688680684e-06
sub-08,9.0013502025304,4.98417020816142e-06
sub-08,9.001350202530347,5.218342946094649e-06
sub-08,3.0004500675101333,5.179355275399352e-06
sub-08,3.0004500675101333,4.89364818909983e-06
sub-08,0.0,5.3763748531064475e-06
sub-08,0.0,5.356454597769108e-06
sub-08,15.003000600119952,5.236481526368936e-06
sub-08,3.0004500675101333,5.3586613806186705e-06
sub-08,15.002250337550665,4.9594151158899294e-06
sub-08,5.714829983807968,5.478979835359709e-06
sub-08,0.0,6.492032330857934e-06
sub-08,0.0,4.538062755277737e-06
sub-08,0.0,4.8492672383373e-06
sub-08,22.27750343444845,6.425552646140097e-06
sub-08,0.0,5.023325427447095e-06
sub-08,0.0,5.953095868076265e-06
sub-08,0.0,6.398649485141933e-06
sub-08,30.006001200240078,5.992921481400181e-06
sub-08,18.00180018001796,6.18273260081654e-06
sub-08,0.0,5.518913285715835e-06
sub-08,3.0003000300029936,5.705629008734069e-06
sub-08,6.001200240048016,4.975449349675163e-06
sub-08,3.0004500675101333,4.9823564549272e-06
sub-08,0.0,4.890856367718449e-06
sub-08,0.0,5.717068990011272e-06
sub-08,6.0012002400479805,4.666244481345758e-06
sub-08,0.0,5.29814546086771e-06
sub-08,15.002250337550578,5.750771616910989e-06
sub-08,9.000900090009031,5.1547433905386325e-06
sub-08,3.0004500675101333,6.116581040378353e-06
sub-08,12.001800270040462,6.450151460578921e-06
sub-08,2.8575510787255225,5.45662549467191e-06
sub-08,0.0,4.346131713598841e-06
sub-08,0.0,4.385196822813611e-06
sub-08,0.0,5.427021115782771e-06
sub-08,0.0,6.249966408497356e-06
sub-09,1.1443175099650984,3.0853691786839735e-06
sub-09,2.3746388570071635,3.089680435377778e-06
sub-09,0.0,2.4813668092987454e-06
sub-09,0.0,2.6394467504345983e-06
sub-09,0.0,2.6201995214150103e-06
sub-09,0.0,2.50107068088544e-06
sub-09,60.0,2.6039479468521226e-06
sub-09,3.0028527100745697,2.8490766136212785e-06
sub-09,9.00135020253038,3.094181592268148e-06
sub-09,3.0004500675101284,2.9573702824468093e-06
sub-09,3.0003000300029976,3.0692404171922957e-06
sub-09,12.001800270040514,3.0638429195673123e-06
sub-09,3.0006001200240036,3.6602875297035984e-06
sub-09,3.000300030003002,4.197961709010802e-06
sub-09,3.0004500675101244,4.194956391970393e-06
sub-09,3.0004500675101244,3.3725645246258923e-06
sub-09,0.0,3.399496285557985e-06
sub-09,3.0004500675101244,2.9367790283920748e-06
sub-09,6.000600060006004,3.0482747295847206e-06
sub-09,3.0004500675101333,3.30709445508659e-06
sub-09,3.0004500675101244,2.92313963080893e-06
sub-09,3.0004500675101244,2.9010507576960612e-06
sub-09,3.0004500675101244,3.216983194588186e-06
sub-09,9.000900090009006,3.4164217558186174e-06
sub-09,6.000900135020249,3.243538842987023e-06
sub-09,9.0013502025304,2.785221194488546e-06
sub-09,3.0004500675101244,2.7349185716720363e-06
sub-09,6.001200240048016,2.8476770448022325e-06
sub-09,9.00045002250109,2.9888730234009455e-06
sub-09,3.002401921537241,2.8083905674380404e-06
sub-09,6.002100735257324,2.951111738351796e-06
sub-09,3.0003000300030105,3.508549924620673e-06
sub-09,3.0004500675101156,3.466647179483253e-06
sub-09,3.0004500675101333,3.028887940977005e-06
sub-09,3.0004500675101333,3.221850443630512e-06
sub-09,3.0003000300029936,3.354119304504414e-06
